EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
A	A	B	B	C	C	A	A	B	B	C	C	A	A	B	B	C	C																																															
beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	
Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Pam.ric.ZA.212	Pam.ric.ZA.212	Pam.ric.ZA.212	Pam.ric.ZA.212	Pam.fai.PL.018	Pam.fai.PL.018	Pam.fai.PL.018	Pam.fai.PL.018	Pam.ric.KG.133	Pam.ric.KG.133	Pam.ric.KG.133	Pam.ric.KG.133	Mac.LT.013	Mac.LT.013	Mac.LT.013	Mac.LT.013	Mac.PL.352	Mac.PL.352	Mac.PL.352	Mac.PL.352	Mac.IN.030	Mac.IN.030	Mac.IN.030	Mac.IN.030	Pam.ric.TZ.073	Pam.ric.TZ.073	Pam.ric.TZ.073	Pam.ric.TZ.073	Meb.GB.093	Meb.GB.093	Meb.GB.093	Meb.GB.093	Mac.PL.110	Mac.PL.110	Mac.PL.110	Mac.PL.110	rotifers	rotifers	algae	algae	blank	blank	blank	blank	blank	blank	blank
																																																						rotifers	rotifers	algae	algae	blank	blank	blank	blank	blank	blank	blank
50	medium	50	medium	50	medium	50	medium	50	medium	50	medium	50	medium	50	medium	50	medium	20	20	medium	medium	20	20	medium	medium	20	20	medium	medium	20	20	medium	medium	20	20	medium	medium	20	20	medium	medium	20	20	medium	medium	20	20	medium	medium	5	5	medium	medium	rotifers	rotifers	algae	algae	blank	blank	blank	blank	blank	blank	blank
																																																																
UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ
																																																																
exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4	exp4
																																																																
beads Meb.KE.008 50  A	beads Meb.KE.008 medium  A	beads Meb.KE.008 50  B	beads Meb.KE.008 medium  B	beads Meb.KE.008 50  C	beads Meb.KE.008 medium  C	beads Mac.PL.010 50  A	beads Mac.PL.010 medium  A	beads Mac.PL.010 50  B	beads Mac.PL.010 medium  B	beads Mac.PL.010 50  C	beads Mac.PL.010 medium  C	beads Mac.PL.015 50  A	beads Mac.PL.015 medium  A	beads Mac.PL.015 50  B	beads Mac.PL.015 medium  B	beads Mac.PL.015 50  C	beads Mac.PL.015 medium  C	beads Pam.ric.ZA.212 20  	beads Pam.ric.ZA.212 20  	beads Pam.ric.ZA.212 medium  	beads Pam.ric.ZA.212 medium  	beads Pam.fai.PL.018 20  	beads Pam.fai.PL.018 20  	beads Pam.fai.PL.018 medium  	beads Pam.fai.PL.018 medium  	beads Pam.ric.KG.133 20  	beads Pam.ric.KG.133 20  	beads Pam.ric.KG.133 medium  	beads Pam.ric.KG.133 medium  	beads Mac.LT.013 20  	beads Mac.LT.013 20  	beads Mac.LT.013 medium  	beads Mac.LT.013 medium  	beads Mac.PL.352 20  	beads Mac.PL.352 20  	beads Mac.PL.352 medium  	beads Mac.PL.352 medium  	beads Mac.IN.030 20  	beads Mac.IN.030 20  	beads Mac.IN.030 medium  	beads Mac.IN.030 medium  	beads Pam.ric.TZ.073 20  	beads Pam.ric.TZ.073 20  	beads Pam.ric.TZ.073 medium  	beads Pam.ric.TZ.073 medium  	beads Meb.GB.093 20  	beads Meb.GB.093 20  	beads Meb.GB.093 medium  	beads Meb.GB.093 medium  	beads Mac.PL.110 5  	beads Mac.PL.110 5  	beads Mac.PL.110 medium  	beads Mac.PL.110 medium  	beads rotifers rotifers  	beads rotifers rotifers  	beads algae algae  	beads algae algae  	beads blank blank  	beads blank blank  	beads blank blank  	beads blank blank  	beads blank blank  	beads blank blank  	 blank blank  
